report,date_range,row_index,channel,sessions,engaged_sessions,engagement_rate,avg_engagement_time_per_session,events_per_session,event_count
traffic_acquisition,"Mar 1-Mar 26, 2026",total,Total,179,67,37.43%,22s,6.11,1093
traffic_acquisition,"Mar 1-Mar 26, 2026",1,Unassigned,89,17,19.1%,6s,4.71,419
traffic_acquisition,"Mar 1-Mar 26, 2026",2,Referral,39,20,51.28%,12s,5.79,226
traffic_acquisition,"Mar 1-Mar 26, 2026",3,Organic Search,34,25,73.53%,1m 21s,11.09,377
traffic_acquisition,"Mar 1-Mar 26, 2026",4,Direct,15,3,20%,7s,4.00,60
traffic_acquisition,"Mar 1-Mar 26, 2026",5,Organic Social,2,2,100%,1m 04s,5.50,11
